iteration	commit	metric	status	description
15	WORKTREE	0	faux-only	development-informed late-novelty reconstruction; 14 ordinal-four transitions; low Dice-LCS 5/7 dominates versus high 2/7, gap=42.857pp; Fisher one-sided=491/3432 and two-sided~=0.286 with strong protocol confounds; faux motivation only
16	WORKTREE	1	apparatus-only	four-call late-novelty faux wiring; each arm 4 provider/4 evaluator/4 tool calls; guidance only treatment call4; authoritative raw artifacts byte-identical; zero duplicates or compactions; no treatment claim
17	WORKTREE	1	apparatus-only	shared GPU-lane capacity; aggregate KernelBench+NanoGPT cap=4 running jobs; faux regression held fifth GPU job while CPU progressed, then admitted and merged it exactly once; no live GPU campaign claim
18	WORKTREE	0	apparatus-invalid	late-novelty paid screen v1; one sealed preflight event and no lock/result/provider/evaluator evidence; contemporaneous console output identified a duplicate implementation source path but the exception text was not persisted; setup failure only, no retry
19	WORKTREE	0	apparatus-invalid	late-novelty paid screen v2; 1 Luna dispatch returned exact frozen S12 tool request; first treatment evaluator failed and later external sacct showed Slurm 1703304 FAILED/3:0, but old adapter lost raw streams and local Slurm identity; no accepted measurement, control, pair result, compaction, RLM, or GPU promotion; paid lock remains terminal
20	WORKTREE	1	apparatus-only	typed adapter-output error evidence now stores sanitized model-visible failure plus host-only content-addressed raw stdout/stderr/evidence in run_manifest; source closure and test isolation sealed; prospective only
21	WORKTREE	1	apparatus-only	FarmShare recovery diagnostics; zero-model jobs 1703309/1703313 isolated missing Gym sources and compatibility tree 1247/2749; restored pinned archives; job 1703328 passed locally with empty-pass blowfish=3898/16573, frozen operational environment seal, and 20/20 callbacks; external sacct reported COMPLETED/0:0
22	WORKTREE	1	apparatus-only	prospective paid runner/preregistration v2 gates every provider transport on a sealed read-only FarmShare login-node probe; ordered host-only pass/fail evidence binds arm and ordinal; faux failure leaves transport/provider/evaluator counts at zero; 41/41 late-novelty tests; no live call
23	WORKTREE	0	blocked-before-staging	durable CompilerGym home-bundle builder passed 5/5 local tests; contemporaneous unsealed remote output reported EDQUOT at parent creation before stage/switch creation; active recovered scratch environment unchanged
24	WORKTREE	0	apparatus-invalid	complete-action-space headroom: v1 zero-dispatch trusted-read-bound failure; corrected fresh v2 job 1703490 swept 98 omitted flags and raw payload found early-cse-memssa 292->260 plus early-cse 292->269 with 20/20 callbacks, but root AllocCPUS=4 violated frozen 2 despite step 1 CPU/1 task COMPLETED/0:0; no admitted result, retry, paid promotion, or frontier point
25	WORKTREE	0	directional-loss	stock-26 versus full-124 first-proposal visibility pair; shared S12 gate passed exact 1970/13838 IR and 21501/166545 object bytes with 20/20 callbacks; control measured 1960/14080 IR and 22380/172685 object bytes, strictly Pareto-dominating treatment at 1971/14268 IR and 23040/181907 object bytes despite treatment uniquely using 19 omitted-guide flags; 2 paid Luna calls, 1 tool per arm, exact zero-use blocked continuations, 6 unique CPU allocations; stop with no randomized/causal/default/GPU/NanoGPT promotion
26	WORKTREE	1	apparatus-only	prospective blowfish-proxy cascade production-default wiring qualified model-free; 8 fresh unique CPU allocations=4 blowfish+selected candidates 2/3 bzip2+hidden omitted candidates 1/4 bzip2 audit; frontier=[3] and champion=3 retained; 24 Slurm rows COMPLETED/0:0, queue empty, zero failures/retries/reuse/model/provider/RLM/GPU; 102 allocation-wall seconds, 196 requested task CPU-seconds, 408 scheduler logical CPU-seconds; 6 versus actual audit 8 is counterfactual 25% allocation-count only, with no compute/time/latency/agent/default/GPU/NanoGPT claim
27	WORKTREE	1	apparatus-only	counterbalanced full-versus-proxy-cascade resource screen passed; block1 control=84.477934s/198 step-CPU versus cascade=54.664385s/136, block2 cascade=52.682669s/126 versus control=82.121875s/188; median wall ratio=0.6443014367, saving=29.6263775s, step-CPU ratio=0.6785407264; exact frontier=[3], champion=3, selection=[2,3]; 28 fresh unique CPU allocations, 84 accounting rows, max concurrency=2, zero failures/retries/reuse/models/tools/GPU; qualified one paid directional campaign that was attempted and closed apparatus-invalid, no agent/default/GPU/NanoGPT claim
28	WORKTREE	0	apparatus-invalid	paid proxy-cascade directional campaign v1-v2 closed after two terminal apparatus failures; v1 exposed a provider-response guard defect; fresh v2 completed both online arms with 8 Luna transports, 8 tool calls, and 14 verified online measurements, but host admission rejected hidden jobs 1703771/1703772 when .extern outlived root by 1s despite root and evaluator steps COMPLETED/0:0; assessment=null and all online values diagnostic only; no v3, pair, frontier, resource-quality, replication, default, GPU, or NanoGPT claim
29	WORKTREE	1	apparatus-only	proxy-cascade accounting/provenance repair treats .extern as containment cleanup while strictly containing .0, records external IDs immediately, and persists running/failed states, raw artifacts, aggregate children, and failure-path session seals; paid matrix 60/60, legacy proxy-cascade 53/53, resource 37/37, full check green; fresh zero-model live jobs 1703787/1703788 overlapped and passed exact root/extern/step accounting plus 20/20 callbacks with zero model calls; apparatus-only, no scientific or paid-dispatch authorization
30	WORKTREE	1	apparatus-only	production NanoGPT scored verifier pins evaluator+environment manifest/seal+19-file dataset+worker+transport, disables requeue, requires exact sacct COMPLETED/0:0, and receipt-binds job script+scheduler+result+reverified archived logs; historical [1,2,4,8] config remains immutable while the pre-dispatch amendment defines separate smoke-10 then prospective scored [1,3,8] stages without historical reclassification; authoritative stock smoke job 1703802 passed seed 0xC0FFEE at 10/10 steps, loss 6.485082150, peak VRAM 29634.344 MB, with 8 requested versus 10 allocated CPUs, and live reconcile recovered the same receipt without redispatch; apparatus/lineage only, full score job 1703804 pending, no frontier claim
